iter	Passed	Remaining
245	553	1697
246	555	1692
247	556	1688
248	558	1684
249	559	1679
250	561	1675
251	562	1670
252	564	1667
253	566	1662
254	567	1658
255	569	1654
256	570	1650
257	572	1645
258	573	1641
259	575	1637
260	576	1633
261	578	1629
262	580	1626
263	582	1622
264	583	1618
265	585	1614
266	586	1610
267	588	1606
268	589	1601
269	590	1597
270	592	1594
271	594	1590
272	595	1586
273	597	1582
274	598	1578
275	600	1574
276	601	1570
277	603	1567
278	605	1564
279	606	1560
280	608	1556
281	610	1553
282	611	1549
283	613	1546
284	614	1542
285	616	1539
286	618	1536
287	620	1532
288	621	1529
289	623	1525
290	624	1521
291	625	1517
292	627	1514
293	629	1511
294	630	1506
295	632	1503
296	633	1499
297	635	1496
298	636	1492
299	637	1488
300	639	1484
301	640	1480
302	642	1477
303	643	1473
304	645	1470
305	647	1467
306	648	1464
307	650	1460
308	651	1457
309	653	1453
310	654	1450
311	656	1446
312	657	1443
313	659	1440
314	661	1437
315	662	1434
316	664	1430
317	665	1427
318	666	1423
319	668	1420
320	669	1416
321	671	1413
322	672	1410
323	674	1406
324	675	1403
325	677	1400
326	679	1397
327	680	1394
328	682	1391
329	683	1387
330	684	1384
331	686	1381
332	687	1377
333	689	1374
334	690	1371
335	692	1368
336	693	1365
337	695	1361
338	696	1358
339	698	1355
340	699	1352
341	701	1348
342	702	1345
343	704	1343
344	706	1340
345	707	1337
346	708	1334
347	710	1331
348	712	1328
349	713	1325
350	715	1322
351	716	1319
352	718	1317
353	720	1314
354	721	1311
355	722	1307
356	724	1304
357	725	1301
358	727	1298
359	728	1295
360	730	1292
361	731	1290
362	733	1286
363	735	1285
364	736	1281
365	738	1279
366	740	1276
367	741	1273
368	743	1270
369	744	1268
370	746	1264
371	747	1261
372	749	1259
373	751	1258
374	753	1255
375	754	1252
376	756	1250
377	758	1247
378	759	1244
379	761	1242
380	763	1239
381	764	1237
382	766	1234
383	768	1232
384	770	1230
385	771	1227
386	773	1224
387	774	1221
388	775	1218
389	777	1216
390	779	1214
391	781	1211
392	782	1208
393	784	1206
394	786	1204
395	787	1201
396	789	1198
397	790	1196
398	792	1193
399	793	1190
400	795	1188
401	796	1185
402	798	1183
403	800	1180
404	801	1178
405	803	1175
406	804	1172
407	806	1169
408	807	1167
409	809	1164
410	811	1162
411	812	1159
412	814	1157
413	816	1155
414	817	1152
415	819	1150
416	820	1147
417	822	1145
418	824	1142
419	825	1140
420	827	1138
421	829	1136
422	830	1133
423	832	1130
424	833	1128
425	835	1125
426	837	1123
427	838	1120
428	840	1118
429	842	1116
430	844	1114
431	845	1111
432	847	1109
433	849	1107
434	850	1104
435	851	1101
436	853	1099
437	855	1097
438	856	1094
439	857	1091
440	859	1089
441	861	1087
442	862	1084
443	864	1082
444	865	1079
445	867	1077
446	868	1074
447	870	1072
448	872	1070
449	873	1067
450	875	1065
451	877	1063
452	878	1060
453	880	1058
454	881	1055
455	882	1053
456	884	1050
457	885	1047
458	887	1045
459	888	1043
460	890	1040
461	891	1038
462	893	1036
463	894	1033
464	896	1031
465	898	1029
466	899	1026
467	901	1024
468	902	1021
469	904	1019
470	906	1017
471	907	1015
472	909	1013
473	910	1010
474	912	1008
475	913	1006
476	915	1003
477	916	1001
478	918	998
479	921	998
480	922	995
481	924	993
482	925	990
483	927	988
484	928	986
485	930	983
486	931	981
487	933	979
488	935	977
489	936	975
490	938	972
491	939	970
492	941	967
493	942	965
494	944	963
495	945	961
496	947	958
497	949	956
498	950	954
499	952	952
500	953	949
501	955	947
502	956	945
503	957	942
504	959	940
505	960	937
506	962	935
507	963	933
508	965	931
509	967	929
510	968	927
511	970	925
512	971	922
513	973	920
514	974	918
515	976	916
516	978	913
517	979	911
518	981	909
519	982	907
520	984	904
521	985	902
522	987	900
523	988	897
524	990	895
525	991	893
526	993	891
527	994	889
528	996	887
529	998	885
530	999	882
531	1001	880
532	1003	878
533	1004	876
534	1006	874
535	1008	872
536	1009	870
537	1011	868
538	1013	866
539	1014	864
540	1016	862
541	1017	860
542	1019	857
543	1020	855
544	1022	853
545	1023	851
546	1025	849
547	1026	847
548	1028	844
549	1029	842
550	1031	840
551	1032	838
552	1034	836
553	1035	833
554	1037	831
555	1038	829
556	1040	827
557	1041	825
558	1043	823
559	1044	820
560	1046	818
561	1047	816
562	1048	814
563	1050	812
564	1052	810
565	1053	808
566	1055	805
567	1056	803
568	1058	801
569	1059	799
570	1061	797
571	1062	795
572	1064	793
573	1065	791
574	1067	789
575	1069	787
576	1070	785
577	1072	782
578	1074	781
579	1075	778
580	1076	776
581	1078	774
582	1079	772
583	1081	770
584	1082	768
585	1084	766
586	1085	763
587	1087	762
588	1089	759
589	1090	757
590	1092	755
591	1093	753
592	1095	751
593	1096	749
594	1097	747
595	1099	745
596	1100	743
597	1102	740
598	1103	738
599	1105	736
600	1106	734
601	1108	732
602	1109	730
603	1111	728
604	1112	726
605	1114	724
606	1116	722
607	1117	720
608	1119	718
609	1120	716
610	1121	714
611	1123	712
612	1124	710
613	1126	708
614	1127	705
615	1129	703
616	1130	701
617	1132	699
618	1134	697
619	1135	696
620	1137	694
621	1138	692
622	1140	690
623	1141	687
624	1143	686
625	1145	684
626	1146	682
627	1147	679
628	1150	678
629	1152	676
630	1153	674
631	1155	672
632	1156	670
633	1158	668
634	1159	666
635	1161	664
636	1162	662
637	1164	660
638	1166	658
639	1167	656
640	1168	654
641	1171	653
642	1173	651
643	1174	649
644	1177	648
645	1179	646
646	1180	644
647	1182	642
648	1184	640
649	1186	638
650	1189	637
651	1191	635
652	1192	633
653	1194	631
654	1196	630
655	1198	628
656	1199	626
657	1201	624
658	1207	624
659	1210	623
660	1212	621
661	1214	619
662	1216	618
663	1217	616
664	1219	614
665	1220	612
666	1222	610
667	1224	608
668	1225	606
669	1226	604
670	1228	602
671	1229	600
672	1230	598
673	1232	596
674	1233	594
675	1235	592
676	1237	590
677	1238	588
678	1240	586
679	1241	584
680	1243	582
681	1244	580
682	1246	578
683	1247	576
684	1249	574
685	1250	572
686	1252	570
687	1254	568
688	1255	566
689	1257	564
690	1258	562
691	1260	560
692	1261	558
693	1263	556
694	1264	554
695	1266	553
696	1267	551
697	1269	549
698	1270	547
699	1272	545
700	1273	543
701	1275	541
702	1277	539
703	1278	537
704	1280	535
705	1281	533
706	1283	531
707	1284	529
708	1286	527
709	1287	525
710	1289	523
711	1290	522
712	1291	519
713	1293	517
714	1294	516
715	1296	514
716	1298	512
717	1299	510
718	1301	508
719	1302	506
720	1304	504
721	1305	502
722	1307	500
723	1308	498
724	1310	496
725	1311	494
726	1312	493
727	1314	491
728	1316	489
729	1317	487
730	1319	485
731	1320	483
732	1322	481
733	1323	479
734	1325	477
735	1326	475
736	1328	474
737	1330	472
738	1332	470
739	1333	468
740	1335	466
741	1336	464
742	1337	462
743	1339	460
744	1341	459
745	1344	457
746	1346	456
747	1348	454
748	1350	452
749	1351	450
750	1353	448
751	1354	446
752	1356	444
753	1357	442
754	1359	441
755	1360	439
756	1362	437
757	1363	435
758	1364	433
759	1366	431
760	1367	429
761	1369	427
762	1370	425
763	1372	423
764	1374	422
765	1375	420
766	1377	418
767	1378	416
768	1380	414
769	1381	412
770	1383	410
771	1384	409
772	1386	407
773	1387	405
774	1389	403
775	1391	401
776	1392	399
777	1394	397
778	1396	396
779	1397	394
780	1399	392
781	1400	390
782	1402	388
783	1404	386
784	1406	385
785	1407	383
786	1409	381
787	1410	379
788	1412	377
789	1413	375
790	1415	373
791	1416	372
792	1418	370
793	1419	368
794	1421	366
795	1422	364
796	1424	362
797	1425	360
798	1427	359
799	1429	357
800	1430	355
801	1431	353
802	1433	351
803	1434	349
804	1436	347
805	1437	346
806	1439	344
807	1440	342
808	1442	340
809	1443	338
810	1445	336
811	1446	334
812	1448	333
813	1449	331
814	1451	329
815	1452	327
816	1454	325
817	1455	323
818	1457	322
819	1458	320
820	1460	318
821	1462	316
822	1463	314
823	1465	312
824	1466	311
825	1468	309
826	1469	307
827	1471	305
828	1472	303
829	1474	301
830	1476	300
831	1477	298
832	1478	296
833	1480	294
834	1482	292
835	1483	291
836	1484	289
837	1486	287
838	1488	285
839	1489	283
840	1491	281
841	1493	280
842	1494	278
843	1496	276
844	1497	274
845	1499	272
846	1500	271
847	1502	269
848	1503	267
849	1505	265
850	1506	263
851	1508	262
852	1510	260
853	1511	258
854	1513	256
855	1514	254
856	1516	252
857	1517	251
858	1519	249
859	1520	247
860	1522	245
861	1523	243
862	1525	242
863	1526	240
864	1528	238
865	1530	236
866	1531	234
867	1533	233
868	1534	231
869	1536	229
870	1537	227
871	1539	225
872	1540	224
873	1542	222
874	1543	220
875	1545	218
876	1546	216
877	1548	215
878	1549	213
879	1551	211
880	1552	209
881	1554	207
882	1555	206
883	1557	204
884	1558	202
885	1560	200
886	1561	198
887	1563	197
888	1564	195
889	1566	193
890	1567	191
891	1569	189
892	1570	188
893	1572	186
894	1574	184
895	1575	182
896	1577	181
897	1578	179
898	1580	177
899	1581	175
900	1582	173
901	1584	172
902	1586	170
903	1587	168
904	1589	166
905	1591	165
906	1593	163
907	1594	161
908	1596	159
909	1598	158
910	1600	156
911	1601	154
912	1604	152
913	1607	151
914	1608	149
915	1611	147
916	1613	146
917	1614	144
918	1616	142
919	1618	140
920	1620	138
921	1621	137
922	1624	135
923	1626	133
924	1627	131
925	1629	130
926	1631	128
927	1633	126
928	1634	124
929	1636	123
930	1637	121
931	1639	119
932	1641	117
933	1642	116
934	1644	114
935	1646	112
936	1647	110
937	1648	108
938	1649	107
939	1651	105
940	1652	103
941	1654	101
942	1655	100
943	1657	98
944	1658	96
945	1660	94
946	1661	92
947	1663	91
948	1664	89
949	1666	87
950	1667	85
951	1669	84
952	1670	82
953	1672	80
954	1673	78
955	1675	77
956	1676	75
957	1678	73
958	1679	71
959	1681	70
960	1682	68
961	1684	66
962	1685	64
963	1687	63
964	1688	61
965	1690	59
966	1691	57
967	1693	55
968	1694	54
969	1696	52
970	1697	50
971	1698	48
972	1700	47
973	1701	45
974	1703	43
975	1704	41
976	1706	40
977	1707	38
978	1709	36
979	1710	34
980	1712	33
981	1713	31
982	1715	29
983	1716	27
984	1718	26
985	1719	24
986	1720	22
987	1722	20
988	1723	19
989	1725	17
990	1726	15
991	1728	13
992	1729	12
993	1731	10
994	1732	8
995	1733	6
996	1735	5
997	1736	3
998	1738	1
999	1739	0
