iter	Logloss
0	0.6888330777
1	0.6845488548
2	0.6795383294
3	0.6745667458
4	0.6703804334
5	0.6662264665
6	0.6618431409
7	0.6570078929
8	0.6522117058
9	0.6478466193
10	0.6438428561
11	0.6398646037
12	0.6352045536
13	0.6305765708
14	0.6259881258
15	0.6221376657
16	0.6179931959
17	0.6135640542
18	0.6095596155
19	0.6055867672
20	0.6012530327
21	0.5969516436
22	0.5930698315
23	0.5891421239
24	0.584939599
25	0.5807660023
26	0.5766305129
27	0.573123614
28	0.5696401993
29	0.5661811829
30	0.5624836286
31	0.558855931
32	0.5548972289
33	0.551324447
34	0.547361215
35	0.543804129
36	0.5405279795
37	0.5367110173
38	0.5334866047
39	0.5297248363
40	0.5265488625
41	0.5227835576
42	0.519111077
43	0.5160090129
44	0.5126535495
45	0.5095990101
46	0.5063256025
47	0.5033134619
48	0.5021593173
49	0.4985934099
50	0.4953726133
51	0.4919126829
52	0.4890051683
53	0.4859221776
54	0.4825402101
55	0.4791292349
56	0.4763096968
57	0.4730069637
58	0.4702294668
59	0.4674712022
60	0.4642354647
61	0.4609735012
62	0.4580940803
63	0.4549334049
64	0.4522833824
65	0.4494078557
66	0.4462615649
67	0.443670392
68	0.4406198661
69	0.4380683104
70	0.435297211
71	0.4326059421
72	0.4301068385
73	0.4271166325
74	0.4241933425
75	0.4212920268
76	0.4183672269
77	0.4157371918
78	0.412854592
79	0.4114704529
80	0.4100938638
81	0.4075629711
82	0.4047575792
83	0.4019734859
84	0.39947776
85	0.3969999949
86	0.3945623239
87	0.391902407
88	0.3895003796
89	0.3871447245
90	0.3844997088
91	0.3823392391
92	0.3797744115
93	0.3774381479
94	0.3753250837
95	0.3727758328
96	0.3702882926
97	0.3680458069
98	0.3658208052
99	0.3633855581
100	0.3613723914
101	0.3589334488
102	0.3569502831
103	0.3548065424
104	0.3528512319
105	0.350738287
106	0.3488108317
107	0.3468979994
108	0.3449982007
109	0.3426909447
110	0.3404384851
111	0.3382043839
112	0.3362227678
113	0.3342298667
114	0.3320461512
115	0.3300853968
116	0.3279343446
117	0.3257641792
118	0.3238488833
119	0.3221099377
120	0.3199876149
121	0.3181174199
122	0.3160611788
123	0.3140233755
124	0.3119669954
125	0.3101379474
126	0.3081138929
127	0.3063524564
128	0.3045668403
129	0.3028113643
130	0.3008808494
131	0.2991528114
132	0.2974383831
133	0.2957369486
134	0.2940298319
135	0.292349875
136	0.2906795939
137	0.288836201
138	0.2871912718
139	0.2853460312
140	0.283518215
141	0.2819133798
142	0.2804591258
143	0.2788933516
144	0.2771186233
145	0.275359412
146	0.273830394
147	0.272280097
148	0.2705606023
149	0.2690649033
150	0.2675846815
151	0.2659025788
152	0.2644254168
153	0.2629603545
154	0.2614901861
155	0.2600460052
156	0.2584230502
157	0.2570044597
158	0.2554285526
159	0.2541519403
160	0.2527486483
161	0.2513495286
162	0.2498159011
163	0.2484556039
164	0.2469430367
165	0.2455993493
166	0.2441074451
167	0.2429079811
168	0.2414152622
169	0.2407280803
170	0.2392776807
171	0.2378118833
172	0.2365422646
173	0.2353943984
174	0.2339771589
175	0.232572039
176	0.2314428091
177	0.230209291
178	0.2289947073
179	0.2276382844
180	0.2264369527
181	0.2252588272
182	0.2239071528
183	0.2227193713
184	0.2214098374
185	0.2203596234
186	0.2190652688
187	0.2177617153
188	0.2166271011
189	0.2153415084
190	0.2143285871
191	0.2130804658
192	0.2118187745
193	0.2107252677
194	0.2096388141
195	0.2086607218
196	0.2075893482
197	0.2063875596
198	0.2051947713
199	0.2041444778
200	0.2029512525
201	0.2017840544
202	0.2008553942
203	0.1998221477
204	0.1988077362
205	0.1976694266
206	0.1966697375
207	0.1955469847
208	0.1945622365
209	0.1935940186
210	0.1927154859
211	0.1917461952
212	0.1907766859
213	0.1896962722
214	0.1888454755
215	0.1879051526
216	0.1869829893
217	0.185933729
218	0.1848917802
219	0.1840684414
220	0.1830412149
221	0.1821499467
222	0.1811202765
223	0.1802215377
224	0.1793275873
